Annotation Cluster 1	Enrichment Score: 0.7134305611461967
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_DOMAIN	KW-0798~TonB box	6	3.1088082901554404	0.14934327551179205	7332572, 7331417, 7330614, 7330229, 7329791, 7330821	61	61	1289	2.0784735286213385	0.7667675065409896	0.5317117784602019	0.5317117784602019
UP_SEQ_FEATURE	DOMAIN:TonB-dependent receptor-like beta-barrel	6	3.1088082901554404	0.1572519321166321	7332572, 7331417, 7330614, 7330229, 7329791, 7330821	151	57	2976	2.074590449634019	0.9999999999858136	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:TonB-dependent receptor plug	6	3.1088082901554404	0.17401822147399157	7332572, 7331417, 7330614, 7330229, 7329791, 7330821	151	59	2976	2.004265349646425	0.9999999999992455	1.0	1.0
INTERPRO	IPR000531:TonB-dep_rcpt_b-brl	6	3.1088082901554404	0.20403196113084454	7332572, 7331417, 7330614, 7330229, 7329791, 7330821	172	61	3317	1.8968738086160883	1.0	1.0	1.0
INTERPRO	IPR012910:Plug_dom	6	3.1088082901554404	0.22284986498287884	7332572, 7331417, 7330614, 7330229, 7329791, 7330821	172	63	3317	1.836655592469546	1.0	1.0	1.0
INTERPRO	IPR036942:TonB_rcpt_b-brl_sf	6	3.1088082901554404	0.28205231299643996	7332572, 7331417, 7330614, 7330229, 7329791, 7330821	172	69	3317	1.6769464105156724	1.0	1.0	1.0

Annotation Cluster 2	Enrichment Score: 0.508003724848309
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	DOMAIN:ABC transporter	5	2.5906735751295336	0.1890755363352179	7331829, 7331456, 7331564, 7329921, 7329944	151	45	2976	2.1898454746136866	0.9999999999999486	1.0	1.0
INTERPRO	IPR003439:ABC_transporter-like_ATP-bd	5	2.5906735751295336	0.19987514993249542	7331829, 7331456, 7331564, 7329921, 7329944	172	45	3317	2.142764857881137	1.0	1.0	1.0
SMART	SM00382:AAA	5	2.5906735751295336	0.45878948769089645	7331829, 7331456, 7331564, 7329921, 7329944	32	74	666	1.40625	0.9999999367751166	1.0	1.0
INTERPRO	IPR003593:AAA+_ATPase	5	2.5906735751295336	0.5357688980923648	7331829, 7331456, 7331564, 7329921, 7329944	172	74	3317	1.3030326838466373	1.0	1.0	1.0

Annotation Cluster 3	Enrichment Score: 0.5075342498600887
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	DOMAIN:Acyl-CoA dehydrogenase/oxidase N-terminal	3	1.5544041450777202	0.2671490132027536	7332618, 7331432, 7332169	151	20	2976	2.956291390728477	1.0	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:Acyl-CoA oxidase/dehydrogenase middle	3	1.5544041450777202	0.2671490132027536	7332618, 7331432, 7332169	151	20	2976	2.956291390728477	1.0	1.0	1.0
INTERPRO	IPR013786:AcylCoA_DH/ox_N	3	1.5544041450777202	0.27586129436543716	7332618, 7331432, 7332169	172	20	3317	2.8927325581395347	1.0	1.0	1.0
INTERPRO	IPR006091:Acyl-CoA_Oxase/DH_mid-dom	3	1.5544041450777202	0.27586129436543716	7332618, 7331432, 7332169	172	20	3317	2.8927325581395347	1.0	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:Acyl-CoA dehydrogenase/oxidase C-terminal	3	1.5544041450777202	0.28623290494957776	7332618, 7331432, 7332169	151	21	2976	2.8155156102175973	1.0	1.0	1.0
INTERPRO	IPR037069:AcylCoA_DH/ox_N_sf	3	1.5544041450777202	0.2953658248669143	7332618, 7331432, 7332169	172	21	3317	2.7549833887043187	1.0	1.0	1.0
INTERPRO	IPR046373:Acyl-CoA_Oxase/DH_mid-dom_sf	3	1.5544041450777202	0.2953658248669143	7332618, 7331432, 7332169	172	21	3317	2.7549833887043187	1.0	1.0	1.0
INTERPRO	IPR036250:AcylCo_DH-like_C	3	1.5544041450777202	0.2953658248669143	7332618, 7331432, 7332169	172	21	3317	2.7549833887043187	1.0	1.0	1.0
INTERPRO	IPR009075:AcylCo_DH/oxidase_C	3	1.5544041450777202	0.2953658248669143	7332618, 7331432, 7332169	172	21	3317	2.7549833887043187	1.0	1.0	1.0
INTERPRO	IPR009100:AcylCoA_DH/oxidase_NM_dom_sf	3	1.5544041450777202	0.2953658248669143	7332618, 7331432, 7332169	172	21	3317	2.7549833887043187	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0050660~flavin adenine dinucleotide binding	3	1.5544041450777202	0.7476765935141712	7332618, 7331432, 7332169	132	47	2353	1.1378143133462284	1.0	1.0	1.0

Annotation Cluster 4	Enrichment Score: 0.5032153573005287
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
SMART	SM00530:HTH_XRE	3	1.5544041450777202	0.25523574976443336	7330606, 7329808, 7331146	32	21	666	2.973214285714286	0.9996496451078314	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:HTH cro/C1-type	3	1.5544041450777202	0.34301953820257447	7330606, 7329808, 7331146	151	24	2976	2.4635761589403975	1.0	1.0	1.0
INTERPRO	IPR001387:Cro/C1-type_HTH	3	1.5544041450777202	0.3532592691710692	7330606, 7329808, 7331146	172	24	3317	2.410610465116279	1.0	1.0	1.0

Annotation Cluster 5	Enrichment Score: 0.32848420250548965
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
